'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[18:43:40.000 06/11/2076]',-104.322,-56.654,-0.391,21.099,-39.463,-48.059,32.430,-85.177,22.662,1.954,-8.596,82.051,48.840,-160.586,-30.867,240.684,-19.145,-30.085,1.172,2.344,-10.549,21.490,-30.867
'[18:43:40.004 06/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[18:43:40.008 06/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[18:43:40.012 06/11/2076]',0.391,0.000,0.391,0.391,0.391,0.391,1.172,-0.781,0.391,0.781,0.391,1.563,1.563,0.000,0.391,1.954,0.391,0.781,0.391,1.563,0.391,-0.391,0.391
'[18:43:40.016 06/11/2076]',0.391,0.391,0.781,0.000,0.391,0.000,0.391,0.781,0.391,0.391,0.391,1.954,0.781,-1.172,0.781,2.344,0.391,0.000,0.000,-0.391,0.391,0.391,0.781
'[18:43:40.020 06/11/2076]',0.000,1.563,0.391,0.000,0.000,-0.391,-3.907,6.642,0.781,-1.954,-0.781,-5.079,-4.298,3.126,1.172,-7.424,0.000,-2.344,0.391,-4.689,0.391,3.907,1.172
'[18:43:40.023 06/11/2076]',-1.172,1.563,-0.781,0.391,0.000,0.391,-4.298,4.298,-1.172,-1.172,-0.781,-12.503,-7.424,6.642,0.000,-15.238,0.391,-0.391,1.563,-3.516,1.172,3.516,0.000
'[18:43:40.027 06/11/2076]',0.391,0.000,-0.391,0.391,1.172,0.781,4.298,-6.642,-5.861,3.907,1.172,0.391,-1.172,0.391,-1.563,2.735,1.172,3.516,1.172,3.907,0.391,-0.781,-1.563
'[18:43:40.031 06/11/2076]',2.735,-0.781,2.344,-0.391,2.735,0.391,7.033,-6.642,-1.563,4.298,1.954,19.145,6.642,-6.642,0.000,23.834,0.781,1.172,-1.563,4.298,-1.563,-2.344,0.000
'[18:43:40.035 06/11/2076]',1.954,0.781,2.344,0.391,1.954,0.391,-5.079,8.987,8.987,-3.516,-0.781,3.126,1.954,1.954,2.735,0.391,-1.563,-4.689,-1.563,-3.907,0.391,2.344,2.735
'[18:43:40.039 06/11/2076]',-1.563,6.642,-1.172,-0.781,1.172,-3.907,-15.238,21.490,5.470,-9.377,-3.516,-32.821,-16.410,12.503,5.470,-42.979,-2.735,-7.424,1.954,-17.582,1.954,8.205,5.470
'[18:43:40.043 06/11/2076]',-5.861,16.410,-0.391,-7.033,1.563,-14.066,-27.350,42.589,-14.457,-14.457,-7.814,-58.217,-55.092,21.880,8.205,-72.283,-3.907,-20.317,1.172,-48.840,-1.172,29.304,8.205
'[18:43:40.047 06/11/2076]',-11.331,18.755,-3.516,-5.079,-1.563,-5.470,-44.933,51.184,-26.569,-16.801,-12.503,-88.303,-87.912,56.264,-3.907,-110.574,-5.861,-25.788,4.298,-57.045,1.954,49.621,-3.907
'[18:43:40.051 06/11/2076]',-7.814,23.443,-6.252,-9.377,14.066,-10.940,-35.165,31.648,-47.277,-6.642,-9.768,-88.694,-95.336,48.059,-1.954,-103.541,-3.126,-22.662,7.033,-57.045,0.391,40.635,-1.954
'[18:43:40.055 06/11/2076]',4.689,21.099,1.172,-9.768,26.569,-8.596,-24.615,25.006,-52.357,1.954,-4.298,-62.906,-97.680,53.529,-3.126,-69.939,-5.470,-21.099,-0.391,-54.310,-8.596,44.542,-3.126
'[18:43:40.059 06/11/2076]',14.847,20.708,2.344,-7.033,39.463,-3.516,-37.118,32.039,-3.126,-10.940,-5.470,-50.794,-71.893,63.687,0.391,-63.687,-14.847,-24.225,-1.563,-46.886,-9.768,35.556,0.391
'[18:43:40.063 06/11/2076]',16.410,28.132,-1.563,-4.689,50.794,-13.284,-37.900,39.463,13.675,-20.708,-5.470,-65.641,-62.125,60.952,9.768,-87.131,-23.834,-20.317,2.344,-48.449,-7.424,25.397,9.768
'[18:43:40.066 06/11/2076]',10.159,28.913,-2.344,-7.424,45.714,-22.271,-35.165,40.635,8.987,-21.490,-1.954,-75.409,-53.919,57.045,5.861,-100.415,-30.867,-12.894,3.126,-51.966,-5.079,30.476,5.861
'[18:43:40.070 06/11/2076]',-1.172,26.569,0.000,-10.549,33.211,-21.490,-36.728,39.463,2.344,-24.615,-3.126,-56.264,-54.310,47.668,8.596,-85.568,-36.337,-11.722,0.781,-46.886,-1.172,26.569,8.596
'[18:43:40.074 06/11/2076]',-12.894,30.867,1.954,-13.675,19.927,-21.880,-27.741,35.946,-5.079,-25.006,-1.954,-38.681,-43.761,32.821,10.940,-73.065,-36.728,-8.596,-1.172,-43.761,0.391,25.788,10.940
'[18:43:40.078 06/11/2076]',-4.689,25.006,0.391,-16.801,18.364,-26.178,-23.443,34.383,-9.768,-22.271,2.344,-55.092,-26.569,11.331,19.536,-90.256,-37.118,-3.907,0.391,-44.151,-7.033,22.271,19.536
'[18:43:40.082 06/11/2076]',-5.079,31.648,0.391,-17.192,12.112,-17.973,-23.834,37.900,10.940,-41.026,3.126,-61.734,-69.939,51.184,27.741,-98.462,-38.291,-3.126,0.391,-47.277,-14.847,24.225,27.741
'[18:43:40.086 06/11/2076]',-1.172,45.324,1.563,-18.755,17.582,-13.675,-13.675,35.946,16.801,-40.635,5.861,-35.165,-50.012,37.509,31.258,-71.502,-35.165,-2.735,-0.781,-50.012,-20.317,21.099,31.258
'[18:43:40.090 06/11/2076]',7.424,45.324,7.424,-19.536,30.476,-14.457,-5.470,30.867,16.410,-37.900,5.861,-17.582,-54.701,47.277,26.960,-53.529,-33.993,-0.781,-6.642,-52.357,-12.894,18.364,26.960
'[18:43:40.094 06/11/2076]',-3.516,52.357,12.503,-23.443,18.364,-5.079,-13.284,37.900,10.549,-46.496,7.814,-29.304,-80.879,72.283,19.145,-68.376,-33.993,-3.516,-11.722,-57.827,-13.675,24.615,19.145
'[18:43:40.098 06/11/2076]',-3.126,56.264,4.298,-24.615,14.066,-1.172,-20.708,41.807,-24.225,-39.072,12.112,-31.258,-92.601,58.608,23.443,-73.065,-31.258,-1.563,-3.516,-59.389,-17.582,16.020,23.443
'[18:43:40.102 06/11/2076]',5.079,57.436,-9.377,-23.443,11.722,1.172,-13.284,29.304,-38.291,-31.258,12.894,-25.788,-85.177,37.509,22.662,-58.608,-25.006,5.470,10.159,-47.277,-30.476,2.344,22.662
'[18:43:40.105 06/11/2076]',-1.563,60.562,-20.708,-21.490,-3.126,2.735,-9.768,25.788,-35.946,-34.383,12.894,-28.132,-75.800,51.575,0.391,-62.906,-19.536,2.735,21.490,-52.357,-22.271,19.927,0.391
'[18:43:40.109 06/11/2076]',-0.781,66.422,-28.132,-20.317,0.391,5.079,-19.536,29.695,-52.747,-28.132,4.298,-26.178,-89.866,44.151,9.768,-67.985,-12.112,-5.861,28.913,-61.343,-10.940,12.503,9.768
'[18:43:40.113 06/11/2076]',11.722,72.283,-6.252,-20.317,21.099,8.596,-13.675,39.072,-34.774,-11.722,-3.907,-19.536,-60.171,57.827,6.252,-76.581,-0.781,-10.159,7.033,-73.846,14.457,27.741,6.252
'[18:43:40.117 06/11/2076]',7.424,53.919,-1.172,-16.410,17.582,2.735,-10.159,33.211,-25.006,-9.377,-14.066,-16.410,-42.589,79.316,-24.225,-78.926,-1.954,-13.675,1.954,-66.422,36.337,39.853,-24.225
