'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[12:34:22.000 07/11/2076]',-50.403,118.388,162.149,42.979,133.236,-213.724,312.186,41.416,57.045,-1.954,23.443,46.105,76.972,-15.238,-30.867,93.773,16.020,28.523,-161.368,-27.350,229.353,-2.735,-30.867
'[12:34:22.004 07/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[12:34:22.008 07/11/2076]',0.391,0.391,0.391,0.391,0.391,0.781,0.000,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781
'[12:34:22.012 07/11/2076]',0.391,0.391,0.391,0.391,0.391,1.172,-0.781,0.391,0.391,0.391,0.391,1.172,0.391,0.391,1.172,0.391,0.391,0.391,0.391,0.391,-0.781,0.391,1.172
'[12:34:22.016 07/11/2076]',0.391,0.391,0.000,0.391,0.781,-2.344,2.344,0.000,1.172,-0.781,0.391,-1.954,0.391,1.172,-3.516,0.391,-0.391,-3.126,0.781,-0.391,1.954,1.172,-3.516
'[12:34:22.020 07/11/2076]',0.391,1.563,1.563,0.391,1.563,-3.907,5.079,0.391,0.391,-0.391,0.781,-3.516,0.781,0.781,-3.516,-0.781,0.391,-0.781,-0.781,-0.391,5.079,-0.391,-3.516
'[12:34:22.023 07/11/2076]',0.391,0.781,3.126,0.000,0.000,3.516,-0.781,1.954,-1.954,3.907,0.391,4.298,1.563,-1.954,8.987,-1.563,2.735,10.940,-2.344,2.735,0.391,-3.516,8.987
'[12:34:22.027 07/11/2076]',0.781,-0.391,0.781,0.781,-1.563,8.205,-6.252,1.954,-1.563,4.689,-0.391,9.377,1.172,-1.563,11.331,0.781,1.954,9.768,0.000,3.126,-5.079,-0.781,11.331
'[12:34:22.031 07/11/2076]',0.000,0.391,-1.954,1.172,0.781,-3.516,2.735,0.391,2.735,-3.907,0.000,-3.907,-0.781,3.516,-10.549,2.344,-3.126,-12.112,2.735,-3.516,0.391,5.861,-10.549
'[12:34:22.035 07/11/2076]',-1.172,1.954,0.000,0.000,1.954,-10.549,9.768,-0.391,1.954,-6.642,0.781,-13.284,-1.172,3.516,-16.801,-1.954,-3.126,-14.066,0.781,-5.079,8.987,2.735,-16.801
'[12:34:22.039 07/11/2076]',-0.781,3.126,5.079,-1.172,2.735,-6.252,9.377,0.781,-3.126,0.781,0.781,-7.033,1.563,-2.735,0.000,-7.814,2.344,7.424,-4.298,0.391,13.284,-7.424,0.000
'[12:34:22.043 07/11/2076]',-2.344,11.722,15.629,-0.391,10.549,-26.960,33.602,6.252,-2.735,0.391,1.563,-16.020,8.596,-1.563,-11.331,-12.112,3.516,10.549,-14.847,-1.954,35.946,-12.112,-11.331
'[12:34:22.047 07/11/2076]',-2.344,15.629,29.304,-1.563,6.252,-11.331,28.132,18.364,-14.457,14.847,0.000,3.516,13.284,-9.377,17.192,-17.582,14.066,48.840,-28.523,3.126,35.165,-22.271,17.192
'[12:34:22.051 07/11/2076]',-5.470,16.801,32.039,0.781,-1.563,2.735,17.192,25.006,-24.225,22.662,-5.470,17.192,13.675,-15.238,35.556,-24.225,13.675,67.595,-31.258,4.298,31.258,-26.178,35.556
'[12:34:22.055 07/11/2076]',-8.205,20.708,26.960,3.126,-0.391,-3.516,21.490,26.178,-21.880,11.722,-8.987,1.563,10.549,-7.424,10.159,-30.867,4.689,37.900,-26.178,-6.252,35.946,-13.284,10.159
