'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[04:51:45.000 05/09/2075]',-17.192,-80.488,125.031,32.430,-8.987,95.726,-58.608,31.648,62.125,91.038,-93.773,11.331,-41.026,105.885,16.020,-10.159,45.714,146.911,-124.249,83.614,-19.536,64.469,16.020
'[04:51:45.004 05/09/2075]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.391,0.391
'[04:51:45.008 05/09/2075]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781,-0.391,0.391,0.391,0.391,0.391,0.391,0.781,2.344,0.391,0.391,0.391,0.391,0.391
'[04:51:45.012 05/09/2075]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,2.735,-2.735,0.391,0.391,0.391,0.391,0.391,1.563,7.424,0.391,0.391,0.391,0.391,0.391
'[04:51:45.016 05/09/2075]',0.391,0.391,0.391,0.781,0.391,0.781,0.391,0.391,0.000,-2.735,4.689,0.391,0.391,0.391,0.391,0.391,-2.344,-8.596,0.391,0.391,0.391,0.391,0.391
'[04:51:45.020 05/09/2075]',0.391,-0.391,0.781,1.563,0.391,1.172,0.000,0.391,-1.172,-10.940,14.066,0.391,0.391,0.781,-0.781,1.172,-5.861,-31.648,0.000,0.781,1.172,0.391,-0.781
'[04:51:45.023 05/09/2075]',0.391,-0.391,1.563,0.781,1.172,0.391,0.391,0.781,0.391,-1.563,1.563,1.563,0.391,0.781,0.000,0.391,1.954,-5.861,-0.781,0.391,1.563,0.391,0.000
'[04:51:45.027 05/09/2075]',0.391,1.172,0.391,0.000,0.781,0.000,0.391,0.781,3.516,17.192,-20.317,0.391,0.391,0.391,1.563,-1.172,11.331,48.840,0.391,0.391,0.391,0.391,1.563
'[04:51:45.031 05/09/2075]',0.391,1.172,0.000,0.391,0.391,1.172,0.391,0.391,2.344,7.814,-6.252,-1.563,0.391,0.781,1.563,-0.781,1.172,25.006,0.781,0.781,-0.781,0.781,1.563
