'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[07:33:46.000 07/11/2076]',-50.403,-27.741,-6.642,-14.847,1.172,-74.628,-2.735,-23.443,42.198,-54.310,-3.126,-46.105,-75.409,77.753,-26.178,-37.509,-55.092,-59.780,7.424,-61.734,39.463,79.316,-26.178
'[07:33:46.004 07/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[07:33:46.008 07/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.000,0.391,0.000,0.391,0.391,0.391
'[07:33:46.012 07/11/2076]',0.000,0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.391,0.391,-0.391,-1.172,2.735,0.391,-0.781,-0.391,-1.563,0.391,-1.563,1.172,1.954,0.391
'[07:33:46.016 07/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.000,0.391,0.391,0.781,1.563,0.391,0.781,0.391,0.000,0.391
'[07:33:46.020 07/11/2076]',2.344,-2.344,1.563,0.391,0.781,0.391,0.391,0.391,-1.563,1.172,1.172,4.298,7.814,-9.768,1.563,5.470,4.298,8.987,-0.781,10.549,-4.298,-7.424,1.563
'[07:33:46.023 07/11/2076]',2.735,-1.954,1.563,0.781,1.172,1.172,0.000,0.391,-1.172,0.391,1.563,4.298,7.814,-8.987,1.172,5.470,1.954,3.907,-0.781,8.205,-3.126,-5.470,1.172
'[07:33:46.027 07/11/2076]',-1.954,2.735,-0.781,0.391,-0.391,0.391,-0.391,1.172,1.954,-1.563,-0.391,-3.126,-6.642,10.159,-2.344,-4.689,-5.470,-11.331,1.563,-10.940,5.861,10.159,-2.344
'[07:33:46.031 07/11/2076]',-3.907,4.298,-1.563,-0.391,-1.172,-1.563,0.391,0.391,3.126,-1.172,-2.735,-6.252,-11.722,15.238,-2.735,-7.814,-4.298,-6.252,2.344,-12.894,7.033,11.331,-2.735
'[07:33:46.035 07/11/2076]',2.735,-1.563,2.344,-0.391,1.172,0.391,2.344,-0.781,-1.954,2.344,0.781,3.516,7.814,-10.549,2.735,5.079,6.642,16.801,-1.563,14.066,-5.470,-11.331,2.735
'[07:33:46.039 07/11/2076]',9.377,-9.377,5.470,0.781,3.126,1.954,0.781,0.391,-7.033,3.516,5.079,14.847,28.523,-37.118,5.470,18.755,12.503,27.741,-4.689,36.337,-15.629,-28.132,5.470
'[07:33:46.043 07/11/2076]',14.066,-23.053,9.377,3.907,4.298,-0.781,1.172,0.000,-15.238,2.344,6.642,30.085,52.747,-73.065,6.252,37.900,22.662,53.138,-8.596,68.376,-29.695,-50.012,6.252
'[07:33:46.047 07/11/2076]',19.145,-28.913,14.457,4.689,6.252,1.563,0.000,0.781,-19.927,1.563,10.159,39.853,73.065,-97.680,5.079,50.794,24.615,64.860,-13.675,88.694,-35.946,-64.860,5.079
'[07:33:46.051 07/11/2076]',11.331,-21.490,11.331,3.516,4.298,-0.391,-1.563,2.735,-14.457,-5.079,3.126,26.178,55.092,-72.283,-7.424,34.383,7.033,39.463,-10.549,62.125,-18.364,-39.853,-7.424
'[07:33:46.055 07/11/2076]',3.126,-13.675,9.377,0.391,1.563,-4.689,-0.391,3.516,-9.377,-10.940,-4.298,12.503,34.774,-45.714,-17.582,16.020,-7.424,33.211,-8.596,38.681,-3.907,-18.364,-17.582
'[07:33:46.059 07/11/2076]',7.033,-10.549,14.066,-5.079,1.563,-1.954,3.516,2.735,-10.549,-9.377,-4.689,11.722,41.416,-53.919,-17.192,16.020,-7.033,54.310,-13.284,51.966,-7.033,-33.993,-17.192
'[07:33:46.063 07/11/2076]',13.284,-9.377,19.145,-7.814,1.954,1.563,8.596,1.954,-14.847,-6.252,-0.781,12.503,52.747,-64.860,-15.238,17.582,-8.596,64.469,-18.364,64.860,-12.503,-45.714,-15.238
'[07:33:46.066 07/11/2076]',13.284,-8.987,22.271,-5.861,-1.563,3.907,13.284,4.689,-15.238,-7.424,0.391,15.629,55.873,-65.250,-16.020,18.364,-9.768,68.376,-21.490,61.343,-11.331,-41.026,-16.020
'[07:33:46.070 07/11/2076]',11.722,-5.470,25.006,-2.735,-5.861,6.642,19.927,7.424,-14.847,-6.642,2.735,17.582,55.482,-61.734,-16.020,20.317,-8.205,75.409,-24.225,55.482,-8.205,-37.900,-16.020
'[07:33:46.074 07/11/2076]',8.987,1.563,27.350,0.000,-8.205,10.549,26.178,8.596,-11.722,-5.861,5.079,14.847,52.747,-51.966,-17.973,18.364,-3.907,78.926,-26.569,50.794,-5.861,-30.476,-17.973
'[07:33:46.078 07/11/2076]',10.549,3.516,28.913,1.954,-6.642,13.284,28.132,9.768,-6.642,-7.424,5.470,14.066,53.919,-46.105,-19.145,17.192,-1.563,78.535,-28.132,46.496,-4.689,-24.225,-19.145
