'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[14:43:12.000 06/11/2076]',93.382,57.436,-77.753,-2.344,78.535,20.708,-15.238,-13.284,84.396,18.364,-38.291,15.629,88.694,-50.403,-2.735,44.542,-30.085,58.999,78.535,-17.973,-56.654,-15.238,-2.735
'[14:43:12.004 06/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[14:43:12.008 06/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.000,0.391,0.391,0.000,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[14:43:12.012 06/11/2076]',0.000,0.391,0.391,0.391,0.000,0.391,0.391,0.781,0.000,0.391,0.391,-0.391,-0.781,1.172,0.391,-1.172,0.391,0.391,0.391,0.000,0.391,0.391,0.391
'[14:43:12.016 06/11/2076]',1.172,0.000,0.391,0.391,1.172,0.391,1.172,-0.781,1.172,0.391,0.391,1.954,3.516,-1.954,0.000,3.516,0.391,1.172,0.391,2.344,-0.391,0.000,0.000
'[14:43:12.020 06/11/2076]',2.344,-0.391,0.391,0.391,2.735,0.781,0.391,-1.954,3.126,1.172,0.000,4.689,6.642,-3.907,-0.391,7.033,0.781,0.781,0.391,2.344,-0.781,0.391,-0.391
'[14:43:12.023 06/11/2076]',0.391,1.172,0.391,-0.781,0.781,1.172,-2.344,1.563,0.781,0.391,-0.781,-0.781,-2.344,3.516,1.954,-3.516,0.391,-1.563,0.391,-4.298,2.344,1.954,1.954
'[14:43:12.027 06/11/2076]',-1.954,2.735,0.391,0.000,-1.954,0.781,-1.954,4.298,-2.344,0.000,0.391,-8.205,-10.940,9.377,3.126,-13.284,0.391,-1.172,0.391,-7.033,3.907,1.954,3.126
'[14:43:12.031 06/11/2076]',0.781,0.000,0.391,1.172,0.391,0.391,3.907,-2.344,0.391,1.563,1.954,-0.391,3.516,-1.954,-0.391,3.126,1.172,3.516,0.391,5.079,-1.563,-1.172,-0.391
'[14:43:12.035 06/11/2076]',4.689,-2.344,0.391,0.391,4.298,1.172,4.689,-6.642,5.079,2.735,0.781,12.112,17.192,-12.503,-3.126,20.317,1.954,4.298,0.391,10.549,-4.298,-1.563,-3.126
'[14:43:12.039 06/11/2076]',5.861,-0.391,0.781,-1.563,6.642,2.344,-1.172,-3.907,7.814,2.735,-1.954,12.503,14.847,-7.814,-0.391,15.629,0.781,0.000,0.000,0.781,-0.391,1.954,-0.391
'[14:43:12.043 06/11/2076]',17.192,0.000,-0.781,-5.079,19.145,6.642,-1.172,-15.238,22.662,10.159,-5.861,21.099,37.118,-19.145,-1.563,32.039,4.689,3.126,1.563,2.735,-3.907,2.735,-1.563
'[14:43:12.047 06/11/2076]',17.192,5.079,-0.391,-10.549,21.490,12.894,-12.503,-10.549,25.397,12.894,-8.205,9.768,23.053,-1.954,6.642,11.722,7.033,-1.954,1.172,-19.145,5.470,9.768,6.642
'[14:43:12.051 06/11/2076]',17.192,12.112,0.391,-14.847,21.880,17.973,-16.020,-9.768,24.615,17.973,-8.205,-3.907,8.987,14.847,14.847,-9.377,10.549,0.000,0.391,-35.946,11.722,15.629,14.847
'[14:43:12.055 06/11/2076]',20.708,12.894,1.954,-14.457,25.006,23.443,-5.861,-21.099,27.741,25.788,-3.126,-7.033,19.536,9.377,12.894,0.391,15.629,12.503,-1.172,-26.960,8.596,12.112,12.894
'[14:43:12.059 06/11/2076]',19.927,13.675,5.470,-14.457,23.834,28.913,0.781,-28.523,30.476,30.476,-0.391,-1.954,30.867,2.735,9.768,14.847,17.192,23.053,-4.689,-22.662,7.814,12.894,9.768
'[14:43:12.063 06/11/2076]',17.582,18.755,10.940,-16.410,21.880,33.602,3.126,-27.350,31.648,30.476,0.391,3.516,33.211,2.735,9.377,20.317,15.238,28.913,-10.159,-27.350,11.331,16.020,9.377
'[14:43:12.066 06/11/2076]',14.847,25.006,18.364,-17.192,19.927,39.463,8.205,-25.397,33.993,32.430,2.344,-1.172,33.211,7.814,10.940,14.847,14.066,39.853,-17.582,-32.039,16.020,19.536,10.940
'[14:43:12.070 06/11/2076]',13.675,32.430,24.225,-15.238,18.364,44.542,16.020,-23.834,35.165,33.211,9.768,-3.516,33.602,14.066,15.629,10.940,14.066,51.575,-23.443,-36.728,15.629,24.225,15.629
'[14:43:12.074 06/11/2076]',17.582,37.900,30.867,-14.066,21.490,49.231,22.662,-21.099,35.165,34.383,20.708,5.079,37.118,19.536,23.834,14.847,14.457,64.078,-30.085,-41.026,16.801,29.695,23.834
'[14:43:12.078 06/11/2076]',21.880,42.589,35.946,-10.940,26.960,53.919,29.304,-21.490,35.165,39.072,30.476,16.410,43.370,22.662,32.430,23.443,16.801,75.800,-35.165,-41.807,14.066,35.556,32.430
'[14:43:12.082 06/11/2076]',21.490,48.840,37.509,-7.033,26.178,58.217,34.774,-18.364,32.430,40.244,39.853,6.642,35.946,33.211,39.853,11.331,16.801,84.005,-36.728,-48.449,14.457,39.072,39.853
'[14:43:12.086 06/11/2076]',17.192,52.357,42.589,-5.470,22.271,57.436,37.118,-10.940,28.132,41.807,44.151,0.391,26.960,44.542,46.886,-2.344,16.801,88.303,-41.807,-55.873,21.880,42.198,46.886
'[14:43:12.090 06/11/2076]',14.066,50.012,47.277,-1.563,19.536,53.919,43.761,-7.424,27.350,46.496,42.979,13.284,34.383,41.807,51.184,3.126,20.708,92.601,-46.496,-51.966,27.741,44.933,51.184
'[14:43:12.094 06/11/2076]',11.331,47.277,49.231,1.563,17.582,52.357,46.886,-6.252,28.913,47.668,47.668,17.973,43.370,36.337,55.482,7.814,21.490,97.680,-48.449,-40.635,23.443,44.151,55.482
'[14:43:12.098 06/11/2076]',8.205,48.840,52.747,1.172,15.238,55.092,43.761,-2.344,26.960,44.542,55.482,9.377,33.993,41.416,64.469,-1.563,20.317,94.164,-51.966,-39.072,18.755,44.151,64.469
'[14:43:12.102 06/11/2076]',4.689,48.840,55.092,1.563,10.549,54.310,41.026,4.689,25.397,44.542,57.436,8.987,30.476,48.449,69.548,-10.549,23.443,91.819,-54.310,-39.853,21.880,47.668,69.548
'[14:43:12.105 06/11/2076]',-1.172,41.416,55.092,8.596,2.344,42.979,46.105,11.722,26.178,45.714,49.621,14.847,37.509,48.840,65.641,-13.675,27.741,88.694,-54.310,-36.337,32.430,50.012,65.641
'[14:43:12.109 06/11/2076]',-6.252,37.900,55.092,10.159,-3.907,35.165,48.840,17.192,26.569,44.933,43.370,10.940,36.728,57.827,59.389,-27.350,31.258,78.926,-54.310,-40.244,47.668,54.310,59.389
'[14:43:12.113 06/11/2076]',-19.536,35.946,58.608,8.205,-18.755,14.847,50.403,36.337,19.145,48.059,21.880,8.596,21.099,87.521,54.701,-64.469,37.900,62.906,-57.827,-66.813,92.991,66.032,54.701
'[14:43:12.117 06/11/2076]',-28.132,27.741,49.621,21.490,-26.569,-5.861,43.761,60.952,11.331,41.807,-0.781,28.132,9.377,96.899,47.668,-73.065,31.648,47.668,-48.840,-75.800,110.183,71.502,47.668
'[14:43:12.121 06/11/2076]',-14.066,33.211,41.807,7.033,-10.940,7.424,38.681,33.602,17.582,35.556,17.582,7.033,21.490,77.363,44.933,-64.860,28.523,44.542,-41.026,-42.979,69.548,58.608,44.933
'[14:43:12.125 06/11/2076]',-10.549,31.648,35.165,7.424,-7.814,8.596,26.960,35.556,16.410,28.523,19.145,8.987,22.271,66.422,42.589,-56.264,19.145,34.774,-34.383,-31.258,52.747,52.747,42.589
'[14:43:12.129 06/11/2076]',-7.424,29.304,29.695,6.642,-3.907,7.424,21.099,33.993,17.192,23.053,19.145,16.410,31.648,51.575,36.337,-42.589,12.894,30.085,-28.913,-17.582,35.946,47.277,36.337
'[14:43:12.133 06/11/2076]',-4.689,29.695,27.741,1.954,-3.126,8.596,21.880,27.350,17.192,19.536,24.615,8.987,39.072,42.979,30.476,-40.244,8.596,27.741,-26.960,-5.861,25.788,39.853,30.476
'[14:43:12.137 06/11/2076]',-12.112,29.304,28.913,5.470,-12.894,1.172,23.834,40.244,8.987,18.755,17.973,10.549,30.476,50.794,25.006,-49.621,7.814,22.662,-28.132,-14.847,41.416,39.853,25.006
'[14:43:12.141 06/11/2076]',-17.192,27.741,30.867,10.159,-21.099,-6.252,27.741,52.747,1.563,18.364,8.205,27.741,28.913,52.357,21.099,-45.714,7.424,17.192,-30.085,-22.662,58.999,40.635,21.099
'[14:43:12.145 06/11/2076]',-16.020,27.741,32.821,8.987,-20.317,-3.516,32.821,46.886,1.172,16.410,14.066,31.258,35.556,43.370,20.708,-35.556,10.159,18.755,-32.039,-16.020,56.654,35.556,20.708
'[14:43:12.148 06/11/2076]',-16.020,31.648,33.211,5.861,-17.973,4.689,29.304,39.853,1.563,11.331,22.271,13.284,28.523,38.681,22.271,-39.463,8.987,15.238,-32.430,-12.112,49.231,29.695,22.271
'[14:43:12.152 06/11/2076]',-17.582,28.913,30.085,14.457,-18.364,4.298,22.271,48.059,-0.391,5.861,18.755,16.020,17.973,36.337,23.834,-36.728,6.642,10.159,-29.304,-15.629,48.059,26.569,23.834
'[14:43:12.156 06/11/2076]',-16.410,20.317,28.523,25.006,-14.457,-0.781,22.662,51.575,0.000,4.298,13.675,33.211,24.615,23.834,19.536,-16.020,10.159,10.940,-27.741,-10.940,47.668,23.053,19.536
'[14:43:12.160 06/11/2076]',-18.755,15.238,31.258,32.821,-12.112,-7.814,26.569,54.310,-0.391,6.642,9.377,38.291,27.350,23.053,16.410,-11.722,16.020,8.987,-30.476,-14.847,58.999,21.880,16.410
'[14:43:12.164 06/11/2076]',-32.039,10.159,30.085,53.919,-22.662,-23.834,20.317,90.256,-13.284,7.424,-8.987,50.403,0.000,46.886,17.192,-27.741,16.410,-1.563,-29.304,-47.277,92.210,32.039,17.192
'[14:43:12.168 06/11/2076]',-34.774,11.331,34.774,54.310,-22.271,-27.741,24.225,92.991,-16.020,14.066,-7.424,47.277,-2.735,57.045,19.145,-34.774,23.053,-0.781,-33.993,-58.608,106.276,37.118,19.145
'[14:43:12.172 06/11/2076]',-28.132,16.410,44.542,36.337,-12.503,-17.192,37.509,63.687,-8.205,23.443,10.549,18.364,11.331,52.357,21.880,-40.635,33.211,5.470,-43.761,-44.151,98.852,30.867,21.880
'[14:43:12.176 06/11/2076]',-15.238,15.238,37.509,37.509,-0.391,-3.516,25.006,54.701,-3.126,19.536,23.053,17.582,18.755,31.258,23.443,-15.238,27.350,3.516,-36.728,-21.880,62.125,22.271,23.443
'[14:43:12.180 06/11/2076]',-7.814,16.801,35.946,32.039,7.424,6.642,15.629,48.059,0.391,19.927,26.960,21.880,23.443,21.099,25.397,-0.391,26.178,3.126,-35.165,-12.503,45.714,17.973,25.397
'[14:43:12.184 06/11/2076]',-2.735,16.020,35.556,29.695,12.112,12.894,12.503,41.416,2.735,21.880,29.695,21.099,28.523,13.675,25.397,8.596,27.350,7.033,-34.774,-4.298,34.383,14.847,25.397
