'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8','ECG'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[00:04:47.000 12/07/2079]',-23.443,-21.880,7.424,50.012,-0.391,7.814,-16.410,21.099,29.695,13.284,-17.192,15.629,55.873,-1.954,6.252,-18.755,21.490,-15.238,-6.642,12.503,119.170,-37.118,6.252,573.187
'[00:04:47.004 12/07/2079]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[00:04:47.008 12/07/2079]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,1.563
'[00:04:47.012 12/07/2079]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.000,0.391,0.000,0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.000,0.781,1.563
'[00:04:47.016 12/07/2079]',1.172,-0.391,0.781,0.781,0.781,0.391,0.391,0.781,0.391,0.391,0.781,0.391,0.391,1.563,-0.391,0.391,0.391,0.391,0.000,0.781,0.391,0.391,-0.391,-0.391
'[00:04:47.020 12/07/2079]',-0.391,0.781,-0.391,1.172,0.000,0.391,0.391,0.781,0.781,0.391,-1.563,2.735,0.391,3.126,-1.563,0.391,0.391,1.172,1.172,-0.391,1.954,2.344,-1.563,-7.033
'[00:04:47.023 12/07/2079]',-3.516,3.907,-2.344,0.000,-1.954,0.391,0.391,-0.781,1.172,0.391,-3.907,2.735,0.000,0.391,0.391,-0.781,-0.781,0.781,3.126,-2.735,1.954,1.954,0.391,-19.145
'[00:04:47.027 12/07/2079]',-0.781,1.563,0.000,-1.172,-0.781,0.000,0.781,-0.781,0.391,0.000,0.391,-1.172,0.391,-2.344,2.344,-1.172,0.391,-0.391,0.781,0.391,0.000,-0.781,2.344,-31.648
'[00:04:47.031 12/07/2079]',5.079,-4.298,4.689,1.172,2.735,0.391,0.391,2.735,-0.781,0.000,6.252,-2.735,0.781,-0.391,0.391,2.344,1.954,-0.391,-3.907,5.079,-3.126,-1.563,0.391,-32.821
'[00:04:47.035 12/07/2079]',3.126,-2.344,2.735,2.735,1.563,1.563,-0.391,3.907,0.781,0.391,0.781,2.344,0.391,1.563,-0.781,3.516,0.391,1.172,-1.954,1.954,-3.126,1.954,-0.781,-35.556
'[00:04:47.039 12/07/2079]',-5.861,5.861,-4.298,1.172,-3.907,1.172,0.391,-0.781,2.344,0.391,-9.768,9.768,-1.172,8.596,-3.126,-0.391,-1.954,2.735,5.079,-4.298,2.344,8.596,-3.126,-93.773
'[00:04:47.043 12/07/2079]',-10.940,7.814,-9.377,7.033,-9.768,3.126,0.000,0.781,4.298,0.000,-19.536,23.053,-1.172,28.132,-18.755,0.000,-3.516,8.205,10.159,-7.424,15.238,22.662,-18.755,-218.803
'[00:04:47.047 12/07/2079]',-24.615,19.145,-17.973,6.642,-18.364,0.391,1.172,0.391,6.642,-3.516,-33.993,31.648,-1.563,18.755,-12.894,-2.344,-9.377,10.549,18.755,-18.755,16.801,24.615,-12.894,-432.527
'[00:04:47.051 12/07/2079]',-30.085,20.708,-16.020,0.781,-25.788,0.781,3.907,-3.126,8.596,-5.861,-32.821,26.569,-1.172,10.940,-3.516,-8.596,-11.331,7.424,16.801,-14.066,5.861,21.490,-3.516,-690.403
'[00:04:47.055 12/07/2079]',-13.284,10.940,-4.298,1.563,-19.536,1.563,4.298,7.814,5.470,-7.814,-17.973,23.834,-2.344,8.987,0.391,-3.126,-7.033,5.861,5.079,-2.735,-19.145,24.225,0.391,-926.007
'[00:04:47.059 12/07/2079]',-8.205,6.642,5.079,4.689,-16.020,3.516,2.344,18.755,0.391,-11.331,-12.503,28.132,-13.675,0.391,1.954,15.629,-7.814,7.033,-4.298,4.689,-54.701,28.913,1.954,-1086.203
'[00:04:47.063 12/07/2079]',-3.516,13.675,4.689,-1.563,-12.503,6.252,4.298,14.457,5.470,-7.033,-12.503,27.741,-13.675,-1.563,8.596,19.927,-7.424,6.642,-3.907,0.781,-75.800,33.993,8.596,-1151.453
'[00:04:47.066 12/07/2079]',-1.954,17.582,5.079,4.689,-8.596,5.861,8.205,19.536,0.781,-5.079,-11.331,33.602,-17.973,5.861,-0.391,29.695,-5.079,10.940,-4.298,2.344,-71.111,34.774,-0.391,-1126.447
'[00:04:47.070 12/07/2079]',-1.954,20.708,12.894,6.252,-1.172,5.079,11.331,22.662,-0.391,-1.954,-7.424,32.039,-14.847,-1.563,-4.689,43.370,0.000,15.238,-12.112,-3.907,-64.860,31.258,-4.689,-1016.654
'[00:04:47.074 12/07/2079]',-0.781,25.006,11.722,8.987,3.907,8.205,14.847,17.192,5.861,7.033,-3.907,24.225,-8.596,-3.126,15.629,31.258,3.516,17.973,-10.940,-12.503,-55.482,25.006,15.629,-819.341
'[00:04:47.078 12/07/2079]',-1.563,32.039,14.066,11.331,7.033,12.112,19.927,15.629,10.159,11.331,0.391,22.271,-3.516,5.470,17.582,24.615,10.159,21.880,-13.284,-14.457,-41.807,25.006,17.582,-580.220
'[00:04:47.082 12/07/2079]',-0.781,36.337,10.940,14.457,9.377,16.410,17.582,16.801,8.205,11.331,4.298,28.523,-10.159,15.238,20.708,26.960,16.801,25.788,-10.159,-19.536,-49.231,33.211,20.708,-358.681
'[00:04:47.086 12/07/2079]',3.907,33.211,9.377,14.066,10.549,19.536,16.410,13.675,9.768,9.768,11.722,28.132,-14.457,19.927,23.053,31.258,18.755,27.741,-8.596,-22.662,-63.297,45.324,23.053,-186.764
'[00:04:47.090 12/07/2079]',5.861,30.867,7.814,16.801,9.768,20.708,17.582,12.894,8.596,7.814,15.238,24.615,-13.675,12.112,21.490,37.509,21.490,24.615,-7.033,-19.536,-60.952,34.774,21.490,-82.051
'[00:04:47.094 12/07/2079]',1.172,25.788,12.503,15.238,4.298,19.927,16.410,14.066,5.079,4.298,13.284,30.867,-15.238,6.252,17.192,46.105,25.006,22.271,-11.722,-13.284,-59.780,26.960,17.192,-26.569
'[00:04:47.098 12/07/2079]',-2.344,33.211,13.675,7.814,3.126,19.536,17.973,12.112,3.907,4.298,12.503,27.350,-18.755,8.987,17.192,42.198,23.834,19.927,-12.894,-22.271,-65.641,37.509,17.192,7.424
'[00:04:47.102 12/07/2079]',-5.861,37.118,7.033,8.596,0.781,19.927,16.801,8.987,5.470,4.689,8.596,23.834,-14.457,10.159,13.675,35.165,21.099,16.801,-6.252,-23.834,-52.747,33.211,13.675,41.026
'[00:04:47.105 12/07/2079]',-5.470,30.867,9.377,12.112,0.781,18.755,14.066,13.284,8.987,1.563,10.940,25.397,-7.814,16.410,8.987,30.476,19.927,15.629,-8.596,-13.675,-42.589,27.741,8.987,73.455
'[00:04:47.109 12/07/2079]',-1.563,31.648,5.470,13.284,1.563,17.582,10.549,18.364,10.159,0.391,11.331,31.258,-9.768,31.258,2.735,28.913,16.410,16.801,-4.689,-16.801,-42.979,36.728,2.735,101.197
'[00:04:47.113 12/07/2079]',-7.033,26.569,0.781,12.112,-2.344,10.549,8.205,15.238,1.954,-0.781,2.735,32.039,-19.536,10.940,16.801,27.741,8.987,12.894,0.000,-23.443,-39.072,25.397,16.801,115.263
'[00:04:47.117 12/07/2079]',-5.861,17.192,4.689,14.847,-2.735,8.596,8.596,14.457,4.298,3.126,6.642,28.132,-15.629,11.331,23.834,23.443,10.159,8.987,-3.907,-15.629,-30.476,14.847,23.834,121.514
'[00:04:47.121 12/07/2079]',-5.079,24.615,4.689,14.457,0.000,10.159,7.033,19.927,-2.344,2.735,13.675,30.476,-21.880,10.940,26.178,29.304,12.503,7.814,-3.907,-15.238,-40.244,12.894,26.178,122.295
'[00:04:47.125 12/07/2079]',-8.596,26.960,3.126,12.503,-1.172,8.596,7.814,17.582,-8.205,2.344,12.112,27.741,-25.006,3.126,26.960,28.913,8.205,7.424,-2.344,-23.053,-36.728,13.675,26.960,123.858
'[00:04:47.129 12/07/2079]',-9.768,25.397,3.126,16.020,-1.172,9.768,8.987,16.410,-3.516,1.172,10.549,28.132,-18.364,6.252,25.006,23.053,5.861,7.033,-2.344,-20.708,-27.350,15.629,25.006,130.891
'[00:04:47.133 12/07/2079]',-12.894,20.708,5.470,14.457,-4.298,9.377,5.079,17.582,-5.079,-3.907,11.722,31.648,-19.145,10.159,22.271,20.317,4.689,7.814,-4.689,-8.596,-31.648,15.629,22.271,133.626
'[00:04:47.137 12/07/2079]',-10.940,14.066,6.642,10.940,-3.907,7.033,1.954,16.410,-5.470,0.391,1.954,27.350,-21.099,6.252,15.629,23.443,0.781,6.642,-5.861,-8.205,-29.695,12.503,15.629,136.752
'[00:04:47.141 12/07/2079]',-10.940,10.940,11.331,8.596,-5.861,6.642,3.516,15.238,-3.126,1.172,1.172,23.053,-17.582,5.861,16.801,18.364,0.000,5.079,-10.549,-8.987,-27.741,14.457,16.801,132.454
