'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[09:31:46.000 25/07/2074]',-209.817,233.651,-66.422,584.518,-63.687,11.722,-135.971,729.866,-112.918,-41.026,26.178,-35.946,98.852,-157.851,-118.779,14.066,36.337,-56.654,67.204,-137.924,327.814,-121.123,-118.779
'[09:31:46.004 25/07/2074]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[09:31:46.008 25/07/2074]',0.391,-1.172,2.344,0.000,0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.391,0.391,1.172,0.000,0.391,0.391,0.391,-1.563,1.954,0.391,0.781,0.000
'[09:31:46.012 25/07/2074]',0.391,-1.563,2.344,-1.563,0.391,0.391,1.563,-3.126,0.391,0.391,0.391,0.000,0.391,3.516,-2.735,0.391,0.391,0.391,-1.563,2.735,0.391,3.126,-2.735
'[09:31:46.016 25/07/2074]',0.391,13.284,-13.675,3.126,0.391,-0.391,3.126,0.391,0.391,0.391,0.000,1.172,0.391,-2.735,3.126,0.781,0.391,0.391,14.457,-12.503,0.000,-1.954,3.126
'[09:31:46.020 25/07/2074]',0.000,4.298,-4.298,7.424,-0.391,-0.781,-5.861,14.847,0.000,0.391,-0.391,1.954,0.391,-14.066,14.066,0.781,-0.391,0.391,5.079,-5.470,1.563,-11.722,14.066
'[09:31:46.023 25/07/2074]',-0.781,-17.973,21.490,1.563,-0.391,1.172,-16.020,18.755,0.391,0.391,0.391,-0.391,0.000,-5.470,6.642,-0.391,0.391,0.391,-20.708,17.582,2.344,-5.079,6.642
'[09:31:46.027 25/07/2074]',0.000,-8.205,12.112,-5.861,0.391,2.735,-0.391,-4.689,0.781,0.391,1.563,-2.344,0.391,17.582,-16.020,-1.172,1.563,0.000,-11.331,10.940,0.391,14.847,-16.020
'[09:31:46.031 25/07/2074]',0.000,19.536,-19.145,0.391,0.781,0.391,23.053,-23.053,0.391,0.391,1.172,0.391,1.954,10.159,-9.768,0.000,0.781,-0.391,19.927,-14.457,-0.391,8.596,-9.768
'[09:31:46.035 25/07/2074]',-1.172,-10.940,10.549,6.642,0.391,-0.391,3.907,0.781,-0.391,0.781,-0.391,1.172,0.391,-18.364,19.145,0.391,-0.391,0.391,-9.768,10.159,3.126,-16.410,19.145
'[09:31:46.039 25/07/2074]',0.391,6.642,-10.940,18.364,-3.126,-1.563,-36.337,56.264,-1.172,1.172,-3.126,3.516,-1.563,-40.635,40.244,1.172,-1.954,1.563,11.722,-18.755,5.861,-33.211,40.244
