'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[15:43:19.000 06/11/2076]',-23.834,39.463,95.726,-196.142,-31.648,177.778,-207.473,-23.443,-28.913,1.172,-81.270,5.470,9.768,9.768,-90.256,-32.821,-21.490,-77.753,-94.945,2.344,37.118,16.801,-90.256
'[15:43:19.004 06/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[15:43:19.008 06/11/2076]',0.391,0.391,0.391,0.391,0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[15:43:19.012 06/11/2076]',1.172,0.391,0.391,0.391,1.172,0.391,1.172,0.000,0.391,0.391,0.391,1.563,1.172,-0.391,0.391,1.954,0.391,0.391,0.391,0.781,0.391,0.391,0.391
'[15:43:19.016 06/11/2076]',-1.563,0.781,0.391,0.000,-2.344,1.172,-1.172,1.954,0.391,0.391,0.000,-1.172,-1.172,1.954,0.781,-2.735,0.391,-0.391,0.391,-1.563,0.781,0.781,0.781
'[15:43:19.020 06/11/2076]',-3.516,1.563,0.391,-0.391,-3.907,1.563,-2.735,3.126,0.391,0.000,-0.391,-5.861,-3.126,3.907,0.391,-8.205,0.000,-0.781,0.391,-2.344,1.563,0.391,0.391
'[15:43:19.023 06/11/2076]',2.344,-0.391,0.391,0.391,3.516,-0.781,1.954,-1.563,1.172,0.391,0.391,-0.391,2.735,-1.563,-1.172,1.563,0.391,1.954,0.391,3.516,-0.391,-1.172,-1.172
'[15:43:19.027 06/11/2076]',8.596,-2.735,0.781,1.172,9.768,-1.563,5.470,-5.079,1.954,1.172,1.563,10.159,8.987,-7.814,-1.172,15.629,0.781,3.516,0.000,7.814,-2.344,-1.172,-1.172
'[15:43:19.031 06/11/2076]',0.781,0.000,0.781,0.391,0.391,1.172,-1.954,1.954,0.391,0.000,0.000,3.516,-0.391,0.781,1.172,1.172,0.000,-1.954,0.000,-1.563,1.563,2.344,1.172
'[15:43:19.035 06/11/2076]',-8.205,3.126,-0.781,0.000,-8.987,1.563,-7.033,8.205,-1.954,-1.563,-1.954,-13.284,-12.503,11.722,2.344,-21.490,-2.344,-4.689,1.563,-9.377,5.079,3.126,2.344
'[15:43:19.039 06/11/2076]',-10.159,2.344,-0.391,-0.781,-11.331,1.954,-6.252,5.861,-1.172,-0.781,-1.954,-17.582,-9.377,8.987,-0.781,-21.880,-1.172,-1.172,1.172,-3.907,1.954,0.000,-0.781
'[15:43:19.043 06/11/2076]',-25.397,2.735,3.516,-6.252,-26.960,10.940,-22.271,14.066,2.735,-3.516,-8.205,-31.648,-10.549,14.457,-4.689,-41.026,-3.907,-6.642,-2.735,-7.814,4.298,0.391,-4.689
'[15:43:19.047 06/11/2076]',-3.907,-3.907,1.954,-2.344,2.735,0.391,-14.457,2.344,8.596,-5.861,-7.424,-32.430,4.298,0.781,-13.284,-30.476,-7.033,-0.391,-1.172,8.205,2.735,-9.377,-13.284
'[15:43:19.051 06/11/2076]',19.536,-16.020,5.861,0.391,30.867,-7.033,-8.205,-4.689,8.596,-9.377,-7.033,-18.755,13.675,-15.238,-18.755,-6.642,-10.940,1.954,-5.079,25.006,-0.781,-12.894,-18.755
'[15:43:19.055 06/11/2076]',25.006,-22.662,4.298,3.907,35.946,-8.205,-13.675,-1.563,10.159,-12.894,-8.596,-13.284,7.814,-11.722,-14.066,-7.033,-15.629,-1.954,-3.516,23.834,-3.126,-5.079,-14.066
'[15:43:19.059 06/11/2076]',22.271,-23.834,-4.298,11.331,32.821,-12.503,-15.629,0.781,9.377,-13.675,-10.159,-22.662,-1.954,0.391,-11.722,-23.443,-18.364,-3.126,5.079,19.145,1.563,-1.172,-11.722
'[15:43:19.063 06/11/2076]',13.675,-26.569,-14.457,16.801,21.099,-15.629,-14.847,-1.172,2.735,-14.066,-10.159,-30.867,-8.205,0.781,-13.675,-32.430,-19.536,-1.563,15.238,21.099,5.079,-4.689,-13.675
'[15:43:19.066 06/11/2076]',0.000,-32.430,-22.271,14.457,1.954,-16.020,-17.192,-8.596,-4.689,-13.675,-11.331,-26.960,-3.907,-9.377,-17.582,-26.569,-17.192,-3.126,23.053,25.397,7.424,-10.549,-17.582
'[15:43:19.070 06/11/2076]',-5.079,-36.728,-28.913,14.066,-5.470,-16.410,-19.536,-14.066,-3.126,-15.238,-14.847,-23.443,10.159,-21.880,-24.225,-21.880,-15.629,-7.424,29.695,28.132,13.675,-17.973,-24.225
'[15:43:19.074 06/11/2076]',10.549,-38.291,-32.039,7.814,7.424,-19.927,-21.880,-16.410,-8.596,-21.099,-16.410,-36.337,8.205,-28.523,-28.523,-34.774,-17.582,-15.629,32.821,24.225,19.145,-25.788,-28.523
'[15:43:19.078 06/11/2076]',14.457,-40.635,-33.211,4.298,6.252,-21.490,-24.615,-14.847,-17.582,-21.099,-16.410,-42.589,-10.159,-22.662,-23.834,-42.198,-17.582,-19.927,33.993,21.880,1.563,-19.927,-23.834
'[15:43:19.082 06/11/2076]',32.039,-42.198,-33.602,3.907,17.973,-13.284,-21.880,-21.490,9.768,-14.066,-15.629,-26.569,7.424,-13.675,-15.238,-25.397,-10.549,-14.457,34.383,27.741,-21.490,-7.424,-15.238
'[15:43:19.086 06/11/2076]',43.370,-40.244,-33.211,4.689,27.741,-8.205,-18.755,-26.569,14.847,-7.033,-14.066,-21.099,3.516,-1.172,-9.768,-19.536,-3.516,-11.331,33.993,29.304,-33.602,1.954,-9.768
'[15:43:19.090 06/11/2076]',31.258,-45.324,-42.979,8.205,10.159,-11.331,-25.397,-21.490,3.516,-4.298,-14.847,-30.085,-22.271,19.145,-3.516,-39.463,-2.735,-19.927,43.761,22.662,-36.337,10.940,-3.516
'[15:43:19.094 06/11/2076]',26.569,-54.310,-56.264,7.814,-5.470,-10.159,-33.602,-25.006,7.814,-6.252,-15.238,-30.476,-27.350,28.132,-0.781,-44.542,-4.298,-22.662,57.045,26.960,-52.747,17.582,-0.781
'[15:43:19.098 06/11/2076]',42.589,-63.687,-62.125,6.642,3.516,-11.331,-30.476,-36.337,6.642,-6.642,-10.159,-28.132,-20.317,18.364,-4.298,-32.430,-3.126,-19.145,62.906,43.370,-71.111,13.284,-4.298
'[15:43:19.102 06/11/2076]',50.012,-66.422,-70.720,3.126,11.331,-17.582,-30.476,-45.714,3.907,-3.126,-7.033,-30.476,-16.410,16.410,-7.424,-28.913,-6.642,-21.099,71.502,47.668,-83.614,12.112,-7.424
'[15:43:19.105 06/11/2076]',48.449,-66.422,-56.264,0.781,12.503,-19.536,-30.867,-35.165,17.973,-4.298,-7.424,-26.178,-12.503,22.662,-1.954,-28.913,-4.689,-21.880,57.045,38.291,-82.442,19.145,-1.954
'[15:43:19.109 06/11/2076]',41.026,-58.608,-39.853,-1.172,12.894,-14.847,-25.397,-31.258,16.801,2.344,-6.252,-23.443,-13.284,24.615,3.516,-26.569,5.079,-19.927,40.635,28.523,-68.767,20.708,3.516
'[15:43:19.113 06/11/2076]',27.350,-50.794,-26.960,1.172,5.861,-15.629,-12.503,-26.178,15.238,10.940,-4.689,-30.476,-12.112,32.430,8.596,-37.900,12.894,-17.973,27.741,13.284,-41.807,21.880,8.596
'[15:43:19.117 06/11/2076]',18.755,-48.449,-17.973,8.596,-0.781,-17.192,-7.424,-12.503,14.457,16.020,-5.861,-20.317,-11.331,35.165,13.675,-35.165,18.755,-18.364,18.755,-0.781,-25.788,25.788,13.675
'[15:43:19.121 06/11/2076]',28.132,-45.714,-21.880,5.861,3.126,-3.516,-12.503,-19.145,20.317,11.722,0.391,-17.973,-3.126,23.834,16.801,-23.053,16.801,-13.284,22.662,10.159,-42.198,17.973,16.801
'[15:43:19.125 06/11/2076]',37.509,-50.794,-32.821,5.861,11.722,-5.861,-13.675,-30.867,15.629,8.205,1.563,-24.225,-6.252,15.629,11.722,-19.145,11.331,-11.331,33.602,21.880,-51.575,11.331,11.722
'[15:43:19.129 06/11/2076]',28.523,-51.184,-17.973,5.079,6.252,-6.252,-11.722,-22.662,10.940,5.470,1.954,-25.006,-17.192,10.549,13.284,-13.675,8.596,-10.159,18.755,21.490,-57.827,8.596,13.284
'[15:43:19.133 06/11/2076]',25.788,-53.919,-17.582,2.344,6.642,-6.252,-12.112,-31.258,6.252,1.954,2.344,-21.880,-22.662,-1.563,14.847,-1.172,9.768,-10.549,18.364,26.569,-61.343,3.516,14.847
'[15:43:19.137 06/11/2076]',12.112,-57.045,-14.457,2.735,-3.907,-9.768,-5.470,-36.728,-4.298,3.907,2.344,-14.457,-30.867,-9.768,16.801,10.940,15.238,-11.331,15.238,25.788,-60.562,3.516,16.801
'[15:43:19.141 06/11/2076]',-5.470,-58.217,-7.033,6.642,-24.615,-8.987,-2.344,-26.569,0.000,2.735,5.079,-19.536,-35.165,-2.735,25.006,0.391,17.192,-16.801,7.814,13.675,-55.092,6.252,25.006
'[15:43:19.145 06/11/2076]',-3.907,-50.012,-11.722,8.596,-25.397,-7.033,-3.126,-21.099,3.516,-0.781,10.159,-21.490,-39.853,3.126,31.258,-3.516,15.629,-18.364,12.503,2.344,-57.827,7.033,31.258
'[15:43:19.148 06/11/2076]',2.735,-46.496,-10.940,7.814,-26.569,0.000,5.079,-23.834,3.126,-2.344,19.927,-4.689,-29.304,-5.861,34.383,17.192,16.020,-7.814,11.722,12.112,-72.674,3.516,34.383
'[15:43:19.152 06/11/2076]',-4.689,-42.198,-6.252,12.503,-39.853,3.516,13.675,-18.755,-4.298,-1.954,26.960,7.814,-26.569,-9.768,33.211,32.430,13.675,1.172,7.033,16.020,-76.581,2.344,33.211
'[15:43:19.156 06/11/2076]',-1.563,-32.039,-3.126,15.238,-36.337,-0.391,14.847,0.391,-26.569,1.954,30.476,8.987,-49.231,4.298,36.337,23.053,10.940,2.735,3.907,0.000,-67.595,6.642,36.337
'[15:43:19.160 06/11/2076]',-6.642,-30.085,-1.172,17.582,-41.807,-4.298,19.536,5.861,-43.370,7.424,32.430,12.503,-60.562,14.066,35.556,19.927,12.503,7.814,1.954,-2.735,-59.780,11.331,35.556
'[15:43:19.164 06/11/2076]',-16.801,-40.244,1.563,23.443,-56.654,-10.940,30.085,5.079,-41.416,12.112,29.695,21.099,-44.933,11.331,26.960,28.523,13.284,15.238,-0.781,3.126,-50.403,10.940,26.960
'[15:43:19.168 06/11/2076]',-28.913,-42.979,1.563,19.536,-65.641,-20.708,30.867,5.861,-30.867,11.331,29.304,13.675,-41.807,21.880,25.006,18.364,9.768,12.112,-0.781,-3.126,-44.933,13.675,25.006
'[15:43:19.172 06/11/2076]',-23.053,-38.291,-0.391,6.252,-52.357,-23.443,24.225,-2.735,-16.801,7.033,31.648,7.814,-35.165,23.443,28.523,12.112,6.252,6.642,1.172,-5.079,-51.184,14.066,28.523
'[15:43:19.176 06/11/2076]',-17.973,-36.728,1.172,-3.907,-47.277,-17.973,20.317,-12.112,-10.159,0.781,36.337,12.894,-28.523,10.940,31.648,26.178,-0.781,9.377,-0.391,0.781,-71.111,8.596,31.648
'[15:43:19.180 06/11/2076]',-28.132,-34.383,1.563,-0.391,-57.827,-16.410,17.582,-4.689,-20.708,-1.563,43.761,6.642,-43.761,8.596,37.118,24.615,-6.642,10.159,-0.781,3.126,-83.223,4.689,37.118
