'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[02:44:51.000 07/11/2076]',-40.244,59.780,16.020,-60.171,-41.807,93.382,-44.933,-31.258,9.377,5.861,-49.231,-325.861,-48.059,80.879,-25.397,-367.277,53.529,-51.184,-15.238,-37.509,-0.391,78.535,-25.397
'[02:44:51.004 07/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[02:44:51.008 07/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.000,0.000,0.391,0.391,0.391,-0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[02:44:51.012 07/11/2076]',0.000,0.781,0.391,0.391,0.391,0.391,0.000,0.391,0.781,0.391,-2.735,-4.298,-1.172,2.344,0.000,-7.033,-0.391,-0.781,0.391,-1.172,0.391,2.344,0.000
'[02:44:51.016 07/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.391,0.391,0.391,1.954,-1.172,0.781,0.000,0.781,0.391,0.781,1.172,0.391,0.781,0.391,-0.391,0.781
'[02:44:51.020 07/11/2076]',3.126,-1.563,1.954,0.781,0.391,1.172,1.954,0.391,-1.563,0.781,16.020,20.708,7.814,-9.377,2.735,34.383,3.907,5.861,-1.172,7.424,-0.781,-8.205,2.735
'[02:44:51.023 07/11/2076]',2.735,-1.954,1.563,1.172,0.391,0.781,0.391,1.563,-1.172,0.000,9.768,26.960,6.642,-7.033,1.172,34.383,1.954,1.954,-0.781,5.470,-0.781,-5.079,1.172
'[02:44:51.027 07/11/2076]',-2.735,1.954,-1.172,0.000,-0.391,0.000,-2.735,1.563,2.344,-0.781,-19.927,-12.503,-7.814,11.331,-3.126,-31.648,-4.298,-7.814,1.954,-7.814,1.172,11.722,-3.126
'[02:44:51.031 07/11/2076]',-3.516,4.298,-1.563,-1.563,-0.781,-0.391,-0.781,-0.391,2.344,0.391,-17.582,-37.509,-10.549,13.284,-1.954,-53.138,-2.735,-3.907,2.344,-8.205,1.954,10.549,-1.954
'[02:44:51.035 07/11/2076]',4.689,-1.563,2.344,0.000,0.391,0.391,5.079,-1.172,-2.344,1.563,27.350,10.940,10.159,-12.894,4.298,35.946,6.252,11.331,-1.563,10.940,-1.172,-15.238,4.298
'[02:44:51.039 07/11/2076]',11.722,-7.033,5.470,1.954,0.391,3.126,6.252,1.172,-7.033,0.391,53.529,80.879,27.741,-33.993,7.424,127.375,11.722,17.192,-4.689,24.225,-5.079,-30.085,7.424
'[02:44:51.043 07/11/2076]',19.927,-12.894,10.159,2.344,-3.907,7.814,8.987,5.861,-15.238,0.781,89.084,164.884,49.621,-61.343,12.503,237.949,24.615,31.648,-9.377,44.151,-12.112,-51.184,12.503
'[02:44:51.047 07/11/2076]',27.741,-21.880,13.675,2.735,-5.861,7.033,8.205,13.284,-22.271,-4.298,113.700,242.637,66.032,-82.051,12.503,332.894,27.350,35.556,-12.894,58.608,-16.801,-66.813,12.503
'[02:44:51.051 07/11/2076]',21.490,-15.629,9.768,-4.298,-11.722,5.470,1.954,15.629,-20.317,-8.596,73.846,199.658,45.714,-57.045,3.907,252.015,15.629,16.020,-8.987,40.635,-15.238,-44.542,3.907
'[02:44:51.055 07/11/2076]',16.020,-7.424,5.470,-12.503,-17.582,3.126,0.781,14.066,-18.755,-10.549,41.026,136.361,23.834,-33.211,-2.735,159.805,10.159,10.549,-4.689,23.834,-14.457,-27.350,-2.735
'[02:44:51.059 07/11/2076]',23.053,-9.768,3.907,-14.066,-18.755,0.391,7.814,12.894,-25.006,-10.940,69.939,140.269,32.039,-49.231,-0.391,191.062,12.894,24.615,-3.126,35.946,-18.755,-47.668,-0.391
'[02:44:51.063 07/11/2076]',29.695,-11.331,2.344,-17.582,-18.755,1.563,11.722,7.814,-28.523,-12.894,91.038,161.368,41.416,-63.297,0.391,231.697,15.629,30.476,-1.563,43.761,-22.662,-62.515,0.391
'[02:44:51.066 07/11/2076]',28.523,-8.987,-3.516,-17.192,-21.880,3.907,7.033,8.596,-28.132,-14.457,67.595,179.731,37.509,-57.436,-3.126,227.009,14.066,25.788,4.298,37.118,-26.960,-51.575,-3.126
'[02:44:51.070 07/11/2076]',26.569,-8.205,-8.596,-17.192,-21.490,3.126,2.344,7.424,-26.569,-17.192,51.966,177.778,36.337,-54.701,-6.252,209.817,14.457,24.615,9.377,35.165,-29.304,-47.668,-6.252
'[02:44:51.074 07/11/2076]',25.788,-7.033,-8.205,-24.615,-20.317,3.516,2.344,-0.391,-25.788,-20.317,66.032,145.348,35.946,-55.482,-3.907,188.718,14.457,21.099,8.987,36.728,-27.350,-54.310,-3.907
'[02:44:51.078 07/11/2076]',24.615,-5.861,-6.252,-28.523,-19.145,3.907,3.516,-4.689,-23.834,-20.708,70.720,135.580,36.728,-53.919,-1.954,180.513,14.847,16.801,7.033,36.728,-25.788,-55.482,-1.954
'[02:44:51.082 07/11/2076]',24.615,-6.642,-5.470,-25.788,-18.755,4.298,3.126,-3.126,-24.615,-20.317,66.422,159.023,38.291,-55.482,-2.344,198.095,15.238,14.457,6.252,37.900,-26.178,-54.701,-2.344
'[02:44:51.086 07/11/2076]',23.443,-5.470,-3.516,-26.960,-17.973,2.735,4.689,-3.126,-25.006,-19.927,65.250,145.739,36.337,-53.919,-1.954,184.420,16.410,10.549,4.298,36.728,-22.271,-54.701,-1.954
'[02:44:51.090 07/11/2076]',19.927,-1.954,0.000,-27.741,-16.020,1.563,5.470,-1.172,-22.662,-17.192,53.138,121.123,30.085,-45.714,-4.298,152.772,16.020,5.470,0.781,29.695,-16.801,-46.886,-4.298
'[02:44:51.094 07/11/2076]',21.880,1.563,0.781,-23.834,-9.768,4.298,3.516,1.954,-20.317,-14.457,46.496,146.911,33.602,-47.668,-6.252,176.996,19.145,3.516,0.000,28.913,-18.364,-43.370,-6.252
'[02:44:51.098 07/11/2076]',25.006,2.735,3.516,-23.053,-3.907,7.424,3.126,1.563,-18.364,-15.629,52.357,166.056,38.681,-57.436,-5.470,209.035,21.099,3.126,-2.735,32.821,-22.662,-49.231,-5.470
'[02:44:51.102 07/11/2076]',22.271,7.424,7.814,-25.006,0.781,9.768,3.516,-0.391,-14.847,-12.894,47.668,127.375,30.476,-49.621,-5.861,171.526,19.536,-0.391,-7.033,28.132,-20.708,-45.714,-5.861
'[02:44:51.105 07/11/2076]',18.364,10.159,10.549,-20.708,0.781,10.159,5.861,1.172,-12.894,-10.159,33.993,107.448,21.880,-39.853,-8.205,142.613,18.755,-0.781,-9.768,19.927,-16.020,-38.681,-8.205
'[02:44:51.109 07/11/2076]',19.536,7.814,13.675,-14.066,1.563,10.159,9.768,5.079,-15.629,-8.205,43.370,140.269,28.132,-48.059,-6.252,185.983,24.615,8.596,-12.894,25.397,-14.457,-48.059,-6.252
'[02:44:51.113 07/11/2076]',17.582,8.596,18.755,-8.596,-0.391,8.987,14.457,12.112,-16.020,-5.861,52.747,146.911,30.085,-46.886,-3.907,196.532,27.741,14.457,-17.973,20.317,-3.907,-51.184,-3.907
'[02:44:51.117 07/11/2076]',11.722,12.112,17.582,-1.563,-0.391,7.424,13.675,19.536,-13.284,-5.470,28.913,115.263,16.410,-26.960,-5.079,139.878,22.662,5.079,-16.801,2.344,3.907,-33.993,-5.079
'[02:44:51.121 07/11/2076]',15.629,16.410,17.192,1.563,3.516,13.284,12.112,21.490,-9.768,-5.470,27.350,118.779,18.755,-29.304,-3.126,144.567,21.099,9.377,-16.410,2.735,-3.907,-33.602,-3.126
'[02:44:51.125 07/11/2076]',20.317,14.066,18.755,5.470,4.689,14.457,17.582,22.662,-11.331,-3.907,51.184,121.514,28.523,-42.198,1.563,168.400,21.099,19.927,-17.973,11.722,-6.642,-47.668,1.563
'[02:44:51.129 07/11/2076]',24.225,14.457,23.834,6.252,7.814,15.238,23.834,21.880,-10.549,-0.781,66.032,116.435,35.165,-46.496,7.033,174.261,18.364,28.913,-23.053,15.238,-8.205,-50.403,7.033
'[02:44:51.133 07/11/2076]',23.053,15.629,25.788,9.768,5.470,16.020,26.960,26.178,-7.814,0.391,49.621,144.567,36.337,-42.198,4.689,186.764,15.238,33.993,-25.006,13.284,-9.768,-42.589,4.689
'[02:44:51.137 07/11/2076]',19.536,16.801,26.569,13.675,0.781,12.894,30.867,32.430,-7.424,1.563,40.635,150.037,33.993,-35.165,5.079,180.122,11.722,41.807,-25.788,9.768,-6.642,-35.946,5.079
'[02:44:51.141 07/11/2076]',17.192,17.582,28.132,13.284,-0.391,7.033,36.337,33.993,-5.861,1.954,48.059,115.263,28.913,-26.960,7.033,149.255,7.424,47.277,-27.350,6.252,-2.344,-32.430,7.033
'[02:44:51.145 07/11/2076]',17.192,17.582,27.741,11.722,-1.954,3.907,38.681,33.993,-5.079,-0.391,53.919,112.137,27.350,-22.271,4.689,150.427,2.735,50.794,-26.960,7.033,-2.735,-30.085,4.689
