'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[08:22:35.000 14/03/2059]',129.719,-61.343,-16.410,-37.509,39.853,-31.648,-5.470,11.722,69.939,-50.012,-23.443,72.674,-10.159,36.337,8.987,33.993,-59.780,15.238,17.192,24.225,-100.806,-1.954,8.987
'[08:22:35.004 14/03/2059]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[08:22:35.008 14/03/2059]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[08:22:35.012 14/03/2059]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,1.172,0.391,-0.781,0.391
'[08:22:35.016 14/03/2059]',0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.000,0.391,0.391,-1.172,0.391,1.954,0.391
'[08:22:35.020 14/03/2059]',1.563,0.000,-0.391,0.391,0.781,0.391,0.391,0.391,1.172,0.391,0.391,0.391,0.391,0.781,0.391,0.391,-0.391,0.781,1.172,-4.298,0.000,5.079,0.391
'[08:22:35.023 14/03/2059]',0.391,0.000,-0.391,1.172,0.391,0.000,0.000,1.172,0.391,0.391,0.391,0.391,-0.391,0.391,0.781,0.391,0.391,0.391,1.172,0.391,0.391,0.391,0.781
'[08:22:35.027 14/03/2059]',-1.172,0.391,0.391,1.563,0.000,0.000,0.000,1.563,-0.781,0.391,0.391,0.781,0.000,-0.391,0.781,0.391,1.563,0.000,0.391,6.642,0.781,-6.252,0.781
'[08:22:35.031 14/03/2059]',0.000,0.391,0.391,0.391,0.781,0.391,1.172,-0.781,0.391,0.781,0.391,0.000,0.781,0.391,0.391,0.391,1.172,-0.391,0.391,1.954,0.000,0.000,0.391
'[08:22:35.035 14/03/2059]',1.172,0.391,-0.391,0.391,1.563,0.000,1.563,-1.954,1.172,0.781,0.781,-1.172,0.391,1.563,0.000,0.391,-0.391,1.172,1.172,-6.642,-0.391,8.205,0.000
'[08:22:35.039 14/03/2059]',2.344,-1.172,-3.126,2.735,1.172,-1.563,-0.391,1.563,1.563,0.391,-0.391,1.563,-1.172,0.781,0.781,1.563,-1.954,2.735,3.907,-12.894,-0.391,12.503,0.781
'[08:22:35.043 14/03/2059]',10.159,-6.642,-10.549,5.861,4.689,-5.079,-1.954,2.735,5.861,-1.954,-2.344,4.689,-5.079,1.954,2.344,5.861,-7.424,5.861,11.331,-33.993,-5.861,33.993,2.344
'[08:22:35.047 14/03/2059]',6.642,-6.642,-16.801,12.503,3.126,-8.596,-3.516,4.298,2.735,0.391,-0.781,0.781,-7.814,1.563,6.642,1.954,-4.689,4.298,17.582,-24.225,-6.642,25.397,6.642
'[08:22:35.051 14/03/2059]',-0.391,-7.033,-24.225,23.834,2.344,-14.457,-5.861,8.987,-1.954,2.344,-1.954,3.907,-10.549,-2.344,9.768,4.689,0.000,3.516,25.006,-5.470,-6.642,6.642,9.768
'[08:22:35.055 14/03/2059]',-8.205,-4.689,-31.648,31.258,1.954,-17.973,-2.735,4.298,-3.907,5.861,-0.781,-0.781,-12.112,-1.954,8.987,3.516,4.298,2.735,32.430,-10.549,-7.424,14.457,8.987
'[08:22:35.059 14/03/2059]',-16.801,0.391,-37.900,37.509,1.563,-21.099,1.954,-1.172,-7.814,12.503,1.563,-8.596,-10.940,-0.781,6.642,2.735,7.424,1.563,38.681,-7.814,-6.252,16.020,6.642
'[08:22:35.063 14/03/2059]',-26.960,5.079,-47.668,45.714,-1.954,-25.006,1.563,1.954,-13.675,13.284,2.344,-7.814,-12.112,-5.861,3.126,8.987,10.159,2.344,48.449,-0.391,-5.470,4.298,3.126
