'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[18:01:25.000 07/07/2079]',-69.548,108.230,34.774,-32.039,19.927,-21.490,66.032,-23.053,70.720,7.424,-15.629,-21.490,-32.430,69.939,56.654,-53.138,32.430,-7.814,-33.993,-44.542,112.918,-48.449,56.654
'[18:01:25.004 07/07/2079]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[18:01:25.008 07/07/2079]',0.391,0.781,0.391,0.000,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[18:01:25.012 07/07/2079]',-1.563,2.735,0.781,-0.781,-0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,-0.781,1.563,0.391,0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.391
'[18:01:25.016 07/07/2079]',0.000,-0.781,-1.563,3.907,0.391,-0.391,0.391,0.781,0.391,0.391,0.391,0.781,-0.781,2.735,0.391,0.000,0.391,0.391,2.344,2.344,1.563,0.781,0.391
'[18:01:25.020 07/07/2079]',8.205,-8.205,-0.781,5.079,4.298,0.391,0.391,-0.781,0.781,0.391,0.391,0.391,5.470,-4.298,0.391,0.391,0.391,0.391,1.563,1.172,0.391,1.563,0.391
'[18:01:25.023 07/07/2079]',12.503,-8.596,3.516,-2.344,4.689,3.516,-0.781,-1.954,1.172,0.391,0.391,-0.781,11.722,-13.284,1.563,1.172,0.000,0.391,-2.735,-3.516,-1.563,0.391,1.563
'[18:01:25.027 07/07/2079]',-3.126,4.689,1.954,-5.079,-2.735,0.781,-0.781,1.563,0.391,-0.391,0.000,1.954,0.000,-1.563,0.391,2.344,0.391,0.391,-1.172,-1.563,0.391,-1.172,0.391
'[18:01:25.031 07/07/2079]',-16.020,12.503,-6.252,3.907,-5.861,-4.298,0.781,3.516,-1.172,-0.781,-0.781,3.126,-16.020,17.192,-1.563,0.391,0.391,0.000,7.033,5.079,1.954,0.000,-1.563
'[18:01:25.035 07/07/2079]',0.781,-1.172,-2.735,5.079,1.954,-0.391,1.954,-1.563,1.172,1.172,0.391,-1.172,-1.563,5.079,0.781,-2.344,0.391,0.000,3.516,1.172,0.391,1.954,0.781
'[18:01:25.039 07/07/2079]',33.602,-37.900,0.391,16.410,11.722,7.033,-1.954,-4.298,3.516,2.344,2.344,-0.781,31.258,-27.741,5.861,-1.563,0.000,0.391,0.391,0.781,5.470,3.126,5.861
'[18:01:25.043 07/07/2079]',73.455,-92.210,-17.192,56.264,31.258,3.126,-10.159,-2.735,4.298,-0.781,0.391,8.596,57.045,-52.357,3.126,5.470,-1.172,-1.954,17.973,15.238,13.675,8.987,3.126
'[18:01:25.047 07/07/2079]',109.402,-97.289,-3.126,16.410,46.886,9.377,-11.331,-19.536,6.642,-2.344,-4.689,0.391,81.270,-97.289,1.563,14.066,-6.252,-5.861,3.907,-12.894,-10.549,7.033,1.563
'[18:01:25.051 07/07/2079]',105.885,-98.462,-10.159,16.020,30.085,17.973,-17.973,-17.192,13.675,-1.954,-2.735,5.861,89.084,-103.932,19.536,9.377,-5.470,-8.205,10.940,-15.629,-2.344,-2.735,19.536
'[18:01:25.055 07/07/2079]',57.436,-78.144,-23.443,31.648,8.596,7.814,-21.099,-6.642,4.689,-10.159,-8.205,23.053,54.701,-71.502,5.470,21.099,-7.814,-10.549,24.225,-1.954,7.814,0.391,5.470
'[18:01:25.059 07/07/2079]',48.059,-63.297,-23.834,16.801,1.172,12.503,-16.801,-19.145,5.861,-3.126,-14.457,9.768,48.059,-72.674,12.894,8.987,-10.549,-14.847,24.615,-16.020,4.298,-2.344,12.894
'[18:01:25.063 07/07/2079]',47.277,-76.190,-8.987,26.569,-7.424,17.192,-9.768,-10.940,14.457,4.689,-11.331,9.768,67.595,-72.283,16.410,5.079,-8.596,-13.675,9.768,-19.536,23.834,-0.781,16.410
'[18:01:25.066 07/07/2079]',61.343,-102.759,-15.629,23.443,-1.172,8.205,-21.099,-18.364,3.126,0.391,-18.364,10.159,72.283,-87.131,7.424,2.735,-13.675,-16.801,16.410,1.563,25.788,-3.126,7.424
'[18:01:25.070 07/07/2079]',67.985,-75.409,-16.410,-10.159,15.238,0.000,-17.582,-31.258,6.642,0.391,-23.053,4.689,55.092,-67.985,-9.768,11.331,-14.066,-17.582,17.192,-4.689,-3.907,3.516,-9.768
'[18:01:25.074 07/07/2079]',63.297,-51.184,-21.490,-25.788,14.066,-10.549,-5.079,-33.211,11.722,0.000,-14.457,-7.814,48.449,-32.821,-10.159,-16.020,-14.847,-17.582,22.271,-21.490,-0.391,12.112,-10.159
'[18:01:25.078 07/07/2079]',64.078,-48.059,-2.344,-34.774,24.225,2.735,-14.457,-32.430,11.722,-4.689,-3.907,6.252,57.436,-44.933,-1.172,-1.172,-10.159,-14.066,3.126,-9.768,-4.689,8.987,-1.172
'[18:01:25.082 07/07/2079]',67.595,-63.297,-12.503,-14.847,25.788,7.424,-27.741,-28.913,11.722,-6.252,-4.298,7.814,60.952,-46.105,-8.596,3.516,-7.814,-14.457,13.284,-5.079,-6.642,12.894,-8.596
'[18:01:25.086 07/07/2079]',62.515,-61.343,-21.490,18.364,23.834,3.516,-18.364,-10.159,14.457,-1.563,-3.907,13.675,51.575,-51.575,12.894,8.987,-7.033,-11.722,22.271,-21.880,8.205,3.126,12.894
'[18:01:25.090 07/07/2079]',82.051,-88.694,-14.847,10.159,23.053,3.516,-23.834,-14.066,6.642,-2.344,-6.642,9.377,38.681,-44.151,1.172,10.940,-10.159,-13.675,15.629,9.377,-16.801,11.722,1.172
'[18:01:25.094 07/07/2079]',101.978,-100.415,-26.960,0.781,26.569,5.079,-29.695,-26.569,7.424,1.954,-4.298,4.298,38.681,-35.165,10.940,-4.689,-8.987,-9.768,27.741,17.582,-35.165,18.364,10.940
'[18:01:25.098 07/07/2079]',97.680,-98.462,-19.536,7.424,29.695,5.079,-14.066,-33.211,1.172,3.516,-3.126,-2.344,41.416,-21.490,1.172,-21.490,-6.642,-4.689,20.317,0.391,0.781,33.602,1.172
'[18:01:25.102 07/07/2079]',59.780,-48.840,-24.225,4.298,26.960,-5.861,-4.689,-24.615,2.344,3.907,-2.735,8.987,36.728,5.861,-19.536,-9.768,-3.516,-3.126,25.006,-6.642,1.172,52.357,-19.536
