'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[22:21:25.000 13/03/2059]',-119.560,50.403,28.132,33.602,-112.527,5.861,53.919,45.324,19.145,14.066,19.536,55.482,187.546,-115.263,-55.092,91.038,-1.954,69.939,-27.350,-91.429,185.201,-77.753,-55.092
'[22:21:25.004 13/03/2059]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[22:21:25.008 13/03/2059]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[22:21:25.012 13/03/2059]',0.391,0.391,0.000,0.000,0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.391,0.000,0.391,1.172,0.391,0.391,0.391,0.781,0.391,-0.781,0.391,1.172
'[22:21:25.016 13/03/2059]',0.391,1.563,-1.172,0.781,0.781,0.000,0.391,1.172,0.391,0.391,0.391,0.391,1.172,0.391,0.000,0.781,0.391,0.781,1.954,-2.735,1.563,0.781,0.000
'[22:21:25.020 13/03/2059]',-0.781,0.000,1.954,1.954,-0.391,0.391,0.391,2.344,-0.391,1.172,0.391,0.391,1.563,2.735,-3.907,0.781,0.781,0.781,-1.172,1.563,4.298,1.954,-3.907
'[22:21:25.023 13/03/2059]',-1.954,-4.689,7.424,0.781,-2.735,1.954,1.954,0.391,-0.781,1.172,0.781,-0.391,0.391,1.954,-1.563,0.391,1.954,0.000,-6.642,11.331,1.954,-1.563,-1.563
'[22:21:25.027 13/03/2059]',0.391,-3.516,4.689,0.000,-0.781,1.954,1.563,-1.563,1.563,0.391,0.391,0.000,0.391,-3.907,5.861,0.391,1.172,-0.391,-3.907,6.252,-1.954,-3.516,5.861
'[22:21:25.031 13/03/2059]',2.735,5.861,-5.470,1.172,3.516,0.391,-0.781,1.172,3.907,0.391,-0.391,0.391,1.954,-4.298,4.689,1.172,0.391,0.781,6.252,-13.284,0.781,3.126,4.689
'[22:21:25.035 13/03/2059]',0.781,11.722,-8.205,1.563,2.735,0.391,-1.563,3.907,2.344,0.391,0.391,0.000,2.344,2.344,-3.126,1.172,1.172,0.781,8.987,-13.284,4.689,4.689,-3.126
'[22:21:25.039 13/03/2059]',-2.735,3.907,2.344,4.298,-1.954,2.735,1.563,5.470,-0.391,2.344,1.172,-0.391,5.470,3.516,-8.987,3.126,3.907,0.781,-1.563,7.424,11.722,-5.861,-8.987
'[22:21:25.043 13/03/2059]',-13.675,-12.503,27.350,19.927,-10.940,7.033,7.814,17.192,-3.907,14.457,0.781,-0.391,19.536,8.987,-27.741,10.549,10.940,6.642,-26.569,21.490,41.416,1.954,-27.741
'[22:21:25.047 13/03/2059]',-27.350,-43.370,70.330,22.271,-29.304,19.536,15.629,15.629,-7.033,21.099,5.079,-8.987,16.801,18.364,-33.993,9.377,22.271,3.516,-69.548,71.111,47.668,6.642,-33.993
