'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[01:44:44.000 07/11/2076]',34.774,-79.316,101.197,262.564,12.112,14.457,112.137,180.513,-5.470,63.687,161.758,635.311,109.792,-44.933,73.846,716.581,74.628,193.407,-100.415,335.238,-216.850,3.516,73.846
'[01:44:44.004 07/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[01:44:44.008 07/11/2076]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.391,0.391,0.000,0.391,0.781,0.391,0.391,0.391,0.391,0.391,0.000,0.391
'[01:44:44.012 07/11/2076]',0.391,0.000,0.391,0.000,0.391,0.391,0.391,0.000,0.000,0.391,3.126,3.907,1.954,-1.954,0.391,6.252,0.391,0.781,0.391,1.563,0.391,-1.563,0.391
'[01:44:44.016 07/11/2076]',0.391,0.391,0.391,0.781,0.391,0.391,0.391,1.172,0.391,0.391,-1.172,3.126,0.000,1.172,0.391,0.781,0.391,0.000,0.391,0.391,0.391,1.563,0.391
'[01:44:44.020 07/11/2076]',-1.563,2.735,0.000,1.563,0.391,0.000,-0.781,3.126,2.344,0.781,-12.894,-16.801,-7.424,11.331,-0.781,-29.304,-1.172,-2.735,0.781,-5.861,1.172,9.377,-0.781
'[01:44:44.023 07/11/2076]',-0.781,2.735,0.000,0.391,0.781,0.000,0.391,1.172,1.954,1.563,-6.252,-21.880,-4.689,7.424,0.000,-26.960,0.391,0.391,0.781,-3.516,0.781,4.298,0.000
'[01:44:44.027 07/11/2076]',4.689,-1.954,1.172,0.391,1.563,1.563,3.126,-2.735,-1.172,0.781,19.536,16.020,11.331,-13.284,2.735,34.774,4.298,7.033,-0.391,9.768,-2.735,-12.112,2.735
'[01:44:44.031 07/11/2076]',5.079,-3.126,1.172,1.954,1.954,2.735,0.781,-0.391,-1.172,0.000,14.066,39.072,11.331,-12.503,1.954,51.184,2.344,3.126,-0.391,8.987,-3.126,-8.205,1.954
'[01:44:44.035 07/11/2076]',-3.516,4.298,-1.172,1.563,0.391,0.391,-4.689,5.079,3.907,-0.391,-26.569,-14.847,-12.503,17.973,-2.735,-39.853,-4.298,-9.377,1.954,-13.284,3.126,17.582,-2.735
'[01:44:44.039 07/11/2076]',-7.033,9.377,-2.344,3.126,1.172,-1.954,-3.907,8.205,8.205,2.344,-44.542,-68.376,-26.960,37.509,-3.516,-108.230,-4.689,-9.768,3.126,-22.271,4.689,29.304,-3.516
'[01:44:44.043 07/11/2076]',-3.516,16.020,-0.391,17.973,10.159,0.391,-2.735,21.099,16.801,10.159,-68.767,-104.713,-42.198,66.032,-2.735,-166.056,-5.079,-7.424,1.172,-27.350,-3.516,50.794,-2.735
'[01:44:44.047 07/11/2076]',-0.781,25.788,-3.907,19.145,18.364,1.954,-4.298,23.834,25.788,15.629,-85.958,-170.745,-54.310,86.349,-2.735,-243.028,-3.126,-7.033,4.689,-40.635,-5.470,60.952,-2.735
'[01:44:44.051 07/11/2076]',16.410,21.099,-2.344,26.178,29.695,9.377,-0.391,22.271,28.132,21.099,-52.357,-96.508,-26.178,57.436,3.516,-133.236,8.987,7.814,3.126,-21.099,-20.317,37.118,3.516
'[01:44:44.055 07/11/2076]',32.821,17.192,-4.298,32.039,39.853,20.317,-3.907,21.099,32.039,19.927,-31.258,-52.747,-3.907,33.993,7.814,-68.767,13.675,11.722,5.079,-11.722,-30.476,21.880,7.814
'[01:44:44.059 07/11/2076]',32.821,24.615,-10.159,27.350,42.979,24.225,-13.675,20.317,40.635,16.801,-60.952,-48.449,-18.364,49.231,6.252,-88.303,7.424,-5.861,10.940,-34.383,-27.350,37.509,6.252
'[01:44:44.063 07/11/2076]',32.039,28.523,-13.284,23.443,44.542,25.397,-19.145,19.536,48.059,12.894,-83.223,-82.442,-30.085,60.952,6.252,-141.050,3.516,-14.457,14.066,-50.403,-26.178,50.012,6.252
'[01:44:44.066 07/11/2076]',43.761,23.443,-13.675,26.178,50.012,31.648,-17.973,17.192,47.277,12.503,-59.780,-63.687,-19.536,43.761,13.284,-100.415,5.079,-5.861,14.457,-36.728,-35.165,34.774,13.284
