'Time and date','FP1-F7','F7-T7','T7-P7','P7-O1','FP1-F3','F3-C3','C3-P3','P3-O1','FP2-F4','F4-C4','C4-P4','P4-O2','FP2-F8','F8-T8','T8-P8','P8-O2','FZ-CZ','CZ-PZ','P7-T7','T7-FT9','FT9-FT10','FT10-T8','T8-P8'
'hh:mm:ss.mmm dd/mm/yyyy','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV','uV'
'[05:22:15.000 14/03/2059]',-7.033,-39.463,-53.138,-49.231,101.587,-162.930,-78.144,-9.377,65.250,-43.761,-41.416,-46.105,-36.728,-5.861,-52.747,29.304,-133.236,-66.813,53.919,-59.389,-88.303,36.337,-52.747
'[05:22:15.004 14/03/2059]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[05:22:15.008 14/03/2059]',0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391
'[05:22:15.012 14/03/2059]',0.391,0.781,0.391,0.391,0.391,0.781,1.954,-0.781,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.781,0.391,0.391,0.391,0.391,0.391,0.391
'[05:22:15.016 14/03/2059]',0.391,0.391,0.391,0.391,0.391,0.000,0.391,0.391,0.391,0.391,0.391,0.781,0.391,0.391,0.781,0.391,0.391,0.391,0.391,0.000,0.391,0.781,0.781
'[05:22:15.020 14/03/2059]',0.000,-1.172,0.391,0.781,0.781,-1.563,-6.252,5.861,0.391,-0.391,-0.781,1.172,-0.781,0.000,0.000,1.954,-1.172,0.781,0.391,0.391,0.391,0.391,0.000
'[05:22:15.023 14/03/2059]',0.391,-0.781,0.391,0.391,0.781,-0.391,-6.252,5.861,0.391,0.000,-0.781,0.391,0.000,0.000,-0.781,0.781,-0.391,0.391,0.391,1.954,0.391,-1.563,-0.781
'[05:22:15.027 14/03/2059]',1.954,1.563,0.781,-0.781,0.781,1.954,5.079,-4.689,0.391,1.172,1.172,-0.781,1.563,0.391,1.172,-1.172,1.563,-0.391,0.000,4.298,0.000,-2.735,1.172
'[05:22:15.031 14/03/2059]',0.781,0.781,0.391,0.391,0.391,0.781,8.596,-7.424,0.391,1.172,1.563,0.391,1.172,0.781,2.344,0.000,0.781,0.781,0.391,0.391,-0.391,0.781,2.344
'[05:22:15.035 14/03/2059]',-1.172,-1.563,0.000,1.563,0.000,-1.563,-5.079,5.861,-0.391,0.000,-0.391,1.954,-1.172,0.391,-0.391,2.735,-1.563,3.126,0.781,-5.470,0.391,5.470,-0.391
'[05:22:15.039 14/03/2059]',-0.781,-4.689,0.391,0.781,1.563,-4.689,-22.271,20.708,0.391,-0.781,-2.344,2.735,-2.344,-0.781,-0.391,3.516,-3.907,1.563,0.391,0.391,-0.391,0.391,-0.391
'[05:22:15.043 14/03/2059]',-1.172,-16.410,0.391,1.172,9.768,-17.192,-52.747,43.370,1.172,-4.689,-8.596,10.549,-7.814,-5.861,1.563,10.549,-13.284,1.172,0.391,14.847,-6.252,-13.284,1.563
'[05:22:15.047 14/03/2059]',0.000,-21.880,-1.563,0.391,13.284,-21.880,-74.237,58.608,-0.391,-5.861,-14.457,8.987,-9.768,-8.987,-8.205,16.020,-18.755,3.907,2.344,21.099,-6.252,-21.880,-8.205
'[05:22:15.051 14/03/2059]',5.861,-20.708,-0.391,-5.079,17.582,-18.755,-66.422,46.105,-0.391,-1.172,-9.377,4.689,-6.252,-8.596,0.391,7.814,-18.364,5.079,1.172,23.834,-12.894,-23.834,0.391
'[05:22:15.055 14/03/2059]',11.331,-23.443,3.126,-8.205,19.927,-16.801,-50.403,30.476,-3.126,5.470,-3.126,7.424,-2.344,-5.861,4.298,10.159,-16.801,10.159,-2.344,35.165,-20.317,-29.304,4.298
'[05:22:15.059 14/03/2059]',12.503,-28.523,7.814,-7.033,14.847,-16.020,-46.886,32.430,-10.940,11.722,0.000,7.814,-0.781,-2.344,0.391,12.894,-16.410,23.443,-7.033,25.788,-20.317,-19.145,0.391
'[05:22:15.063 14/03/2059]',15.629,-29.304,10.940,-7.814,15.238,-15.238,-46.105,35.946,-14.847,17.192,3.907,8.987,0.391,0.781,4.298,9.768,-17.192,31.648,-10.159,14.066,-22.662,-7.033,4.298
'[05:22:15.066 14/03/2059]',20.708,-29.695,12.894,-7.814,19.536,-15.629,-42.589,34.774,-19.536,23.053,10.549,13.284,3.907,1.563,10.940,9.768,-14.847,34.383,-12.112,25.788,-27.350,-18.364,10.940
